Test,tenure,Monthly Charges,Total Charges Residues,Total Charges
real data,21,111.20,527.93,2317.10
real data,16,89.45,67.07,1430.25
real data,7,95.60,47.96,644.35
real data,60,90.95,341.49,5453.40
real data,50,108.55,1350.77,5610.70
real data,4,78.85,-47.99,292.80
real data,1,44.40,-40.80,44.40
real data,55,100.00,823.38,5509.30
real data,12,19.80,-792.78,229.60
real data,1,89.90,4.70,89.90
real data,62,100.15,1131.34,6413.65
real data,1,50.80,-34.40,50.80
real data,20,73.65,-240.47,1463.50
real data,3,95.10,51.80,307.40
real data,22,94.65,230.18,2104.55
real data,4,80.60,-21.64,319.15
real data,59,85.55,57.94,5084.65
real data,60,50.80,-2084.51,3027.40
real data,15,105.10,304.77,1582.75
real data,10,110.10,191.31,1043.30
real data,6,83.90,-13.64,497.55
real data,63,100.55,847.84,6215.35
real data,50,103.85,757.97,5017.90
real data,1,24.60,-60.60,24.60
real data,12,98.90,98.57,1120.95
real data,9,98.30,156.71,923.50
real data,17,93.85,177.27,1625.65
real data,9,100.50,151.81,918.60
real data,10,72.85,-163.34,688.65
real data,1,73.55,-11.65,73.55
real data,3,79.40,-50.55,205.05
real data,13,81.15,-155.28,952.30
real data,4,84.60,19.31,360.10
real data,6,79.05,-76.69,434.50
real data,3,74.40,-39.80,215.80
real data,35,99.05,413.85,3395.80
real data,2,44.95,-85.25,85.15
real data,1,44.70,-40.50,44.70
real data,1,45.70,-39.50,45.70
real data,8,100.30,150.76,832.35
real data,7,19.25,-484.09,112.30
real data,2,96.00,4.40,174.80
real data,1,90.55,5.35,90.55
real data,44,30.35,-2389.04,1359.70
real data,71,108.05,1483.05,7532.15
real data,1,69.90,-15.30,69.90
real data,62,103.75,1101.04,6383.35
real data,1,86.60,1.40,86.60
real data,33,80.60,-155.05,2656.50
real data,35,85.30,-64.45,2917.50
real data,34,70.00,-480.65,2416.10
real data,4,94.30,83.66,424.45
real data,7,95.35,64.51,660.90
real data,27,75.50,-406.41,1893.95
real data,18,90.10,79.18,1612.75
real data,2,68.95,-50.65,119.75
real data,32,99.55,478.30,3204.65
real data,18,57.45,-542.72,990.85
real data,12,53.65,-326.03,696.35
real data,8,100.60,137.81,819.40
real data,26,83.75,-144.56,2070.60
real data,3,88.30,18.15,273.75
real data,8,92.10,48.36,729.95
real data,38,79.45,-224.49,3013.05
real data,14,90.45,73.32,1266.10
real data,32,69.75,-378.45,2347.90
real data,1,19.65,-65.55,19.65
real data,12,43.65,-495.43,526.95
real data,5,39.50,-215.24,210.75
real data,40,97.10,299.01,3706.95
real data,5,80.00,-13.49,412.50
real data,10,84.70,-19.94,832.05
real data,2,89.55,15.15,185.55
real data,23,90.60,-16.37,1943.20
real data,23,90.05,210.23,2169.80
real data,49,99.05,679.02,4853.75
real data,2,69.75,-25.85,144.55
real data,2,49.05,-79.30,91.10
real data,7,98.05,116.61,713.00
real data,41,114.50,1034.31,4527.45
real data,2,80.95,0.75,171.15
real data,13,74.30,-167.23,940.35
real data,11,89.70,110.52,1047.70
real data,17,100.45,174.07,1622.45
real data,25,90.40,48.64,2178.60
real data,3,56.15,-87.45,168.15
real data,4,94.40,46.41,387.20
real data,37,78.95,-312.70,2839.65
real data,19,44.85,-725.22,893.55
real data,39,105.65,962.06,4284.80
real data,7,74.65,-51.84,544.55
real data,14,64.70,-251.78,941.00
real data,11,104.05,196.47,1133.65
real data,1,35.55,-49.65,35.55
real data,2,95.15,26.50,196.90
real data,13,96.65,55.27,1162.85
real data,3,80.40,-31.55,224.05
real data,1,31.35,-53.85,31.35
real data,12,89.75,30.02,1052.40
real data,60,94.40,498.34,5610.25
real data,1,19.85,-65.35,19.85
real data,6,109.90,158.26,669.45
real data,15,101.35,275.97,1553.95
real data,21,60.05,-553.02,1236.15
real data,1,60.15,-25.05,60.15
real data,7,90.45,-2.94,593.45
real data,53,94.25,352.43,4867.95
real data,1,74.90,-10.30,74.90
real data,1,80.25,-4.95,80.25
real data,17,69.00,-298.73,1149.65
real data,11,66.35,-196.38,740.80
real data,19,86.00,-86.32,1532.45
real data,3,80.30,-5.55,250.05
real data,24,90.55,237.78,2282.55
real data,2,75.90,-27.05,143.35
real data,1,45.85,-39.35,45.85
real data,16,49.95,-552.98,810.20
real data,34,78.30,-332.45,2564.30
real data,3,76.95,-27.20,228.40
real data,16,96.15,166.02,1529.20
real data,1,45.30,-39.90,45.30
real data,15,19.40,-988.68,289.30
real data,11,90.15,50.77,987.95
real data,1,45.05,-40.15,45.05
real data,1,75.80,-9.40,75.80
real data,7,79.30,-73.24,523.15
real data,2,30.90,-111.35,59.05
real data,46,95.25,505.07,4424.20
real data,68,89.60,334.10,6127.60
real data,59,110.15,1421.34,6448.05
real data,7,89.50,80.31,676.70
real data,8,75.00,-48.64,632.95
real data,6,44.75,-240.24,270.95
real data,11,44.05,-453.48,483.70
real data,15,85.60,67.57,1345.55
real data,70,115.55,2163.70,8127.60
real data,16,86.60,-82.18,1281.00
real data,18,85.20,20.33,1553.90
real data,34,97.65,310.80,3207.55
real data,47,109.55,1120.22,5124.55
real data,39,89.55,151.71,3474.45
real data,1,19.45,-65.75,19.45
real data,4,20.35,-264.44,76.35
real data,1,69.25,-15.95,69.25
real data,59,99.50,934.39,5961.10
real data,1,25.20,-60.00,25.20
real data,2,45.00,-73.95,96.45
real data,1,20.15,-65.05,20.15
real data,66,105.00,1510.15,7133.25
real data,3,54.70,-86.15,169.45
real data,14,87.25,65.82,1258.60
real data,10,79.95,5.21,857.20
real data,18,88.35,105.73,1639.30
real data,9,94.75,123.11,889.90
real data,13,95.05,182.42,1290.00
real data,4,78.45,-10.74,330.05
real data,4,70.20,-102.84,237.95
real data,59,41.05,-2574.01,2452.70
real data,10,85.60,-38.14,813.85
real data,1,79.20,-6.00,79.20
real data,5,70.00,-78.59,347.40
real data,1,49.95,-35.25,49.95
real data,22,69.25,-320.37,1554.00
real data,34,94.25,320.80,3217.55
real data,41,73.00,-491.94,3001.20
real data,64,100.05,801.49,6254.20
real data,4,99.80,102.06,442.85
real data,18,35.00,-980.57,553.00
real data,1,76.00,-9.20,76.00
real data,2,93.85,0.45,170.85
real data,15,84.30,30.42,1308.40
real data,9,84.40,-34.29,732.50
real data,15,101.10,226.07,1504.05
real data,1,50.45,-34.75,50.45
real data,12,99.95,110.37,1132.75
real data,2,91.40,23.20,193.60
real data,5,75.55,-76.34,349.65
real data,4,80.80,-8.34,332.45
real data,16,100.00,171.57,1534.75
real data,1,20.55,-64.65,20.55
real data,5,85.30,-1.84,424.15
real data,4,70.40,-59.79,281.00
real data,37,98.80,323.20,3475.55
real data,13,74.40,-210.83,896.75
real data,24,98.75,362.53,2407.30
real data,61,106.00,1350.59,6547.70
real data,41,104.70,853.26,4346.40
real data,22,96.70,208.58,2082.95
real data,2,55.05,-67.65,102.75
real data,19,88.20,157.03,1775.80
real data,8,19.75,-536.59,145.00
real data,15,75.65,-131.33,1146.65
real data,1,74.70,-10.50,74.70
real data,17,76.65,-134.83,1313.55
real data,1,25.80,-59.40,25.80
real data,2,42.60,-98.00,72.40
real data,29,68.85,-500.26,1970.50
real data,2,90.00,19.65,190.05
real data,14,75.35,-166.83,1025.95
real data,8,100.85,137.96,819.55
real data,5,69.95,-95.84,330.15
real data,63,107.50,1506.24,6873.75
real data,1,45.85,-39.35,45.85
real data,53,106.10,1254.23,5769.75
real data,1,91.70,6.50,91.70
real data,16,95.60,192.47,1555.65
real data,1,74.95,-10.25,74.95
real data,10,95.35,46.36,898.35
real data,3,45.00,-128.50,127.10
real data,66,99.50,1087.40,6710.50
real data,17,98.60,256.57,1704.95
real data,7,59.50,-180.44,415.95
real data,12,80.45,-72.18,950.20
real data,42,77.95,-194.34,3384.00
real data,2,74.70,-5.00,165.40
real data,1,88.80,3.60,88.80
real data,30,90.25,199.39,2755.35
real data,15,64.65,-283.43,994.55
real data,13,89.05,61.77,1169.35
real data,67,87.40,210.50,5918.80
real data,23,94.75,334.03,2293.60
real data,35,86.45,47.15,3029.10
real data,56,98.25,737.23,5508.35
real data,9,75.75,-110.89,655.90
real data,17,85.35,15.07,1463.45
real data,48,106.10,993.27,5082.80
real data,17,45.05,-677.78,770.60
real data,34,109.80,690.50,3587.25
real data,42,84.65,-36.99,3541.35
real data,11,79.50,-68.68,868.50
real data,1,85.80,0.60,85.80
real data,1,79.10,-6.10,79.10
real data,3,44.30,-121.10,134.50
real data,50,105.95,1081.87,5341.80
real data,5,69.75,-101.39,324.60
real data,51,94.65,467.62,4812.75
real data,46,96.05,480.37,4399.50
real data,1,50.15,-35.05,50.15
real data,41,113.60,1101.81,4594.95
real data,29,78.90,-86.61,2384.15
real data,26,60.05,-599.01,1616.15
real data,1,34.70,-50.50,34.70
real data,3,85.30,9.20,264.80
real data,66,102.45,992.05,6615.15
real data,21,104.40,411.08,2200.25
real data,1,99.75,14.55,99.75
real data,4,74.40,-41.09,299.70
real data,9,74.25,-127.14,639.65
real data,1,59.85,-25.35,59.85
real data,1,69.60,-15.60,69.60
real data,9,45.40,-347.99,418.80
real data,1,19.50,-65.70,19.50
real data,1,69.90,-15.30,69.90
real data,2,87.15,13.35,183.75
real data,3,84.75,9.25,264.85
real data,14,89.95,-14.38,1178.40
real data,41,113.20,1196.36,4689.50
real data,13,90.50,93.57,1201.15
real data,2,79.00,-26.75,143.65
real data,18,20.15,-1142.72,390.85
real data,1,71.65,-13.55,71.65
real data,4,20.35,-263.29,77.50
real data,38,84.25,26.96,3264.50
real data,12,78.10,-75.08,947.30
real data,19,89.65,142.28,1761.05
real data,10,98.70,121.26,973.25
real data,1,76.35,-8.85,76.35
real data,23,79.15,-282.62,1676.95
real data,32,85.00,-84.30,2642.05
real data,32,85.30,-65.25,2661.10
real data,31,86.55,56.24,2697.40
real data,19,73.85,-194.27,1424.50
real data,57,44.85,-2283.37,2572.95
real data,1,45.10,-40.10,45.10
real data,24,96.00,77.68,2122.45
real data,1,20.05,-65.15,20.05
real data,65,108.65,1400.04,6937.95
real data,10,45.55,-449.39,402.60
real data,2,35.10,-101.65,68.75
real data,1,46.20,-39.00,46.20
real data,1,45.15,-40.05,45.15
real data,1,43.30,-41.90,43.30
real data,38,57.15,-986.89,2250.65
real data,19,73.20,-177.67,1441.10
real data,52,85.35,-91.72,4338.60
real data,1,45.95,-39.25,45.95
real data,3,83.75,-8.35,247.25
real data,1,70.05,-15.15,70.05
real data,2,86.00,-4.95,165.45
real data,35,100.50,671.40,3653.35
real data,16,72.65,-168.88,1194.30
real data,1,21.00,-64.20,21.00
real data,1,45.10,-40.10,45.10
real data,30,50.40,-1028.46,1527.50
real data,5,78.95,-47.59,378.40
real data,56,94.45,353.48,5124.60
real data,44,84.80,113.81,3862.55
real data,1,50.90,-34.30,50.90
real data,49,99.80,697.72,4872.45
real data,47,107.35,1114.62,5118.95
real data,31,19.55,-1982.21,658.95
real data,3,79.10,-9.10,246.50
real data,8,25.50,-466.39,215.20
real data,2,80.75,-10.95,159.45
real data,65,91.85,402.94,5940.85
real data,1,75.35,-9.85,75.35
real data,1,75.45,-9.75,75.45
real data,24,49.55,-834.37,1210.40
real data,69,78.60,-522.25,5356.45
real data,7,81.10,-19.74,576.65
real data,11,74.95,-111.48,825.70
real data,1,93.55,8.35,93.55
real data,58,102.10,943.88,5885.40
real data,14,90.90,66.22,1259.00
real data,12,29.20,-713.28,309.10
real data,25,89.15,127.79,2257.75
real data,58,108.85,1345.73,6287.25
real data,16,84.75,-13.03,1350.15
real data,1,45.70,-39.50,45.70
real data,1,69.95,-15.25,69.95
real data,2,44.60,-73.30,97.10
real data,23,74.95,-249.12,1710.45
real data,57,95.25,608.33,5464.65
real data,24,89.85,120.28,2165.05
real data,49,100.45,767.07,4941.80
real data,5,47.15,-202.84,223.15
real data,2,80.20,10.70,181.10
real data,4,87.10,0.66,341.45
real data,5,75.90,-68.24,357.75
real data,47,98.75,529.37,4533.70
real data,10,86.45,-21.14,830.85
real data,1,45.30,-39.90,45.30
real data,67,104.10,1332.55,7040.85
real data,5,81.00,-54.34,371.65
real data,67,90.60,347.85,6056.15
real data,15,88.15,112.62,1390.60
real data,1,20.20,-65.00,20.20
real data,26,90.80,146.64,2361.80
real data,22,79.35,-144.02,1730.35
real data,21,96.80,241.13,2030.30
real data,47,83.35,60.67,4065.00
real data,2,49.40,-63.85,106.55
real data,22,79.20,-131.62,1742.75
real data,7,48.70,-256.14,340.25
real data,1,95.60,10.40,95.60
real data,49,59.75,-1240.43,2934.30
real data,43,108.15,937.16,4600.70
real data,1,71.35,-13.85,71.35
real data,1,20.15,-65.05,20.15
real data,1,69.75,-15.45,69.75
real data,32,93.20,204.65,2931.00
real data,17,80.85,-47.53,1400.85
real data,4,33.65,-202.94,137.85
real data,1,79.95,-5.25,79.95
real data,1,19.30,-65.90,19.30
real data,37,99.20,602.25,3754.60
real data,8,85.20,-54.19,627.40
real data,3,75.25,-13.60,242.00
real data,1,54.35,-30.85,54.35
real data,5,24.95,-325.59,100.40
real data,40,42.35,-1691.49,1716.45
real data,1,75.30,-9.90,75.30
real data,51,94.80,492.47,4837.60
real data,1,70.55,-14.65,70.55
real data,33,86.15,-65.85,2745.70
real data,30,85.00,68.29,2624.25
real data,2,80.55,13.70,184.10
real data,2,75.80,-9.65,160.75
real data,29,98.50,533.39,3004.15
real data,13,95.25,126.07,1233.65
real data,7,74.40,-68.49,527.90
real data,30,85.15,-0.06,2555.90
real data,2,88.55,8.85,179.25
real data,24,54.75,-706.62,1338.15
real data,1,91.30,6.10,91.30
real data,1,79.50,-5.70,79.50
real data,7,70.10,-128.84,467.55
real data,67,111.30,1773.80,7482.10
real data,57,95.25,570.73,5427.05
real data,7,86.25,-9.29,587.10
real data,1,100.80,15.60,100.80
real data,14,86.30,-11.83,1180.95
real data,28,89.95,239.99,2625.55
real data,17,76.45,-214.98,1233.40
real data,10,70.00,-111.99,740.00
real data,34,64.40,-808.00,2088.75
real data,1,102.45,17.25,102.45
real data,3,80.10,-38.05,217.55
real data,2,80.20,-24.35,146.05
real data,6,98.15,56.26,567.45
real data,12,112.95,362.37,1384.75
real data,1,70.90,-14.30,70.90
real data,3,86.85,-34.65,220.95
real data,23,99.85,371.73,2331.30
real data,1,74.50,-10.70,74.50
real data,65,109.15,1403.29,6941.20
real data,16,65.20,-319.83,1043.35
real data,66,99.50,1199.05,6822.15
real data,1,71.55,-13.65,71.55
real data,53,93.90,513.68,5029.20
real data,69,108.40,1439.50,7318.20
real data,13,48.75,-474.18,633.40
real data,4,85.65,-19.14,321.65
real data,12,106.70,231.52,1253.90
real data,1,25.15,-60.05,25.15
real data,54,110.35,1292.43,5893.15
real data,48,103.25,948.02,5037.55
real data,2,47.80,-77.95,92.45
real data,29,98.60,462.44,2933.20
real data,15,83.05,-19.68,1258.30
real data,17,70.40,-234.33,1214.05
real data,56,104.75,739.53,5510.65
real data,21,94.25,184.58,1973.75
real data,1,45.95,-39.25,45.95
real data,1,70.15,-15.05,70.15
real data,1,85.55,0.35,85.55
real data,35,70.30,-565.40,2416.55
real data,32,106.35,794.40,3520.75
real data,33,103.70,655.45,3467.00
real data,1,88.35,3.15,88.35
real data,8,94.20,95.71,777.30
real data,5,96.25,86.46,512.45
real data,2,70.70,-28.95,141.45
real data,42,33.55,-2133.04,1445.30
real data,40,94.55,232.51,3640.45
real data,57,112.95,1608.68,6465.00
real data,1,35.90,-49.30,35.90
real data,38,99.25,539.61,3777.15
real data,2,24.45,-122.90,47.50
real data,8,103.35,165.71,847.30
real data,7,84.80,-49.44,546.95
real data,31,99.95,545.49,3186.65
real data,18,90.00,-6.22,1527.35
real data,14,104.85,338.62,1531.40
real data,28,106.10,461.84,2847.40
real data,15,74.20,-144.08,1133.90
real data,5,89.35,35.71,461.70
real data,1,77.15,-8.05,77.15
real data,1,35.25,-49.95,35.25
real data,4,48.55,-139.79,201.00
real data,53,98.40,633.98,5149.50
real data,59,93.85,548.04,5574.75
real data,46,100.70,622.07,4541.20
real data,14,80.45,-120.78,1072.00
real data,31,55.25,-925.51,1715.65
real data,13,54.45,-400.73,706.85
real data,35,75.35,-345.90,2636.05
real data,2,75.70,18.80,189.20
real data,1,74.25,-10.95,74.25
real data,25,89.70,57.59,2187.55
real data,16,96.40,218.02,1581.20
real data,1,69.50,-15.70,69.50
real data,36,85.25,65.60,3132.75
real data,1,19.40,-65.80,19.40
real data,9,83.30,36.51,803.30
real data,8,80.10,-2.29,679.30
real data,45,62.70,-1042.43,2791.50
real data,25,25.30,-1453.61,676.35
real data,13,98.15,122.67,1230.25
real data,46,93.70,235.67,4154.80
real data,25,105.95,525.29,2655.25
real data,18,82.00,-108.12,1425.45
real data,60,95.75,630.99,5742.90
real data,30,94.05,310.49,2866.45
real data,1,54.75,-30.45,54.75
real data,39,95.65,436.31,3759.05
real data,1,94.60,9.40,94.60
real data,31,98.90,270.14,2911.30
real data,3,76.05,-23.80,231.80
real data,1,69.75,-15.45,69.75
real data,7,34.50,-317.14,279.25
real data,61,105.55,1084.34,6281.45
real data,39,30.10,-2191.44,1131.30
real data,10,70.30,-113.79,738.20
real data,1,80.20,-5.00,80.20
real data,67,94.35,633.15,6341.45
real data,6,44.60,-250.39,260.80
real data,1,19.60,-65.60,19.60
real data,33,110.45,843.90,3655.45
real data,2,70.70,-29.70,140.70
real data,7,99.25,69.06,665.45
real data,1,84.80,-0.40,84.80
real data,52,105.00,996.53,5426.85
real data,22,54.45,-747.02,1127.35
real data,47,85.30,41.32,4045.65
real data,33,83.35,-53.70,2757.85
real data,18,33.50,-933.57,600.00
real data,24,90.35,193.73,2238.50
real data,1,90.75,5.55,90.75
real data,4,89.60,24.86,365.65
real data,2,49.25,-80.05,90.35
real data,1,19.75,-65.45,19.75
real data,19,95.15,170.48,1789.25
real data,22,101.35,442.73,2317.10
real data,4,70.05,-73.89,266.90
real data,4,74.65,-39.39,301.40
real data,4,50.40,-134.19,206.60
real data,7,79.65,8.31,604.70
real data,19,79.85,-147.02,1471.75
real data,5,78.75,-13.89,412.10
real data,8,80.45,-98.14,583.45
real data,1,50.10,-35.10,50.10
real data,2,76.40,-18.60,151.80
real data,3,98.70,38.05,293.65
real data,13,100.80,200.52,1308.10
real data,28,90.10,213.39,2598.95
real data,15,51.55,-512.48,765.50
real data,10,79.25,-58.44,793.55
real data,5,94.85,36.81,462.80
real data,2,85.70,-0.60,169.80
real data,1,44.40,-40.80,44.40
real data,5,89.50,51.71,477.70
real data,1,86.05,0.85,86.05
real data,4,44.55,-166.49,174.30
real data,31,35.40,-1563.66,1077.50
real data,1,95.65,10.45,95.65
real data,1,20.95,-64.25,20.95
real data,10,34.70,-522.19,329.80
real data,15,19.75,-980.68,297.30
real data,17,92.55,66.72,1515.10
real data,53,60.05,-1285.87,3229.65
real data,16,74.30,-184.93,1178.25
real data,9,85.35,-8.19,758.60
real data,25,74.30,-266.16,1863.80
real data,4,98.10,55.51,396.30
real data,50,109.65,1291.22,5551.15
real data,9,74.55,-143.89,622.90
real data,3,100.95,74.35,329.95
real data,10,94.90,196.86,1048.85
real data,32,104.90,625.20,3351.55
real data,9,24.10,-506.99,259.80
real data,66,104.05,1266.90,6890.00
real data,3,88.35,6.45,262.05
real data,29,94.65,178.39,2649.15
real data,1,74.40,-10.80,74.40
real data,41,79.90,-166.94,3326.20
real data,8,69.70,-120.74,560.85
real data,12,98.10,37.82,1060.20
real data,1,20.50,-64.70,20.50
real data,4,99.60,6.86,347.65
real data,1,81.95,-3.25,81.95
real data,7,69.35,-145.29,451.10
real data,6,91.10,-55.89,455.30
real data,14,86.10,42.77,1235.55
real data,25,94.70,232.14,2362.10
real data,22,85.10,-0.67,1873.70
real data,61,99.15,812.94,6010.05
real data,70,102.95,1137.60,7101.50
real data,1,45.05,-40.15,45.05
real data,1,71.00,-14.20,71.00
real data,47,70.55,-695.08,3309.25
real data,1,79.70,-5.50,79.70
real data,22,59.00,-619.67,1254.70
real data,48,60.35,-1193.13,2896.40
real data,1,69.25,-15.95,69.25
real data,25,70.95,-362.61,1767.35
real data,20,89.00,116.48,1820.45
real data,18,99.40,209.38,1742.95
real data,1,73.50,-11.70,73.50
real data,9,95.50,62.31,829.10
real data,28,92.35,217.34,2602.90
real data,11,74.55,-112.43,824.75
real data,12,83.80,7.37,1029.75
real data,53,54.45,-1660.97,2854.55
real data,41,99.80,766.16,4259.30
